code,org_id,pinyin,zwjc,category,latest_announcement_url
000001,gssz0000001,payh,平安银行,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000001&orgId=gssz0000001#latestAnnouncement
000002,gssz0000002,wka,万科Ａ,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000002&orgId=gssz0000002#latestAnnouncement
000003,jjjl0000083,zhkzza,中海可转债A,开放式基金,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000003&orgId=jjjl0000083#latestAnnouncement
000004,gssz0000004,ghwa,国华网安,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000004&orgId=gssz0000004#latestAnnouncement
000005,gssz0000005,stxy,ST星源,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000005&orgId=gssz0000005#latestAnnouncement
000006,gssz0000006,szya,深振业Ａ,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000006&orgId=gssz0000006#latestAnnouncement
000007,gssz0000007,stqx,*ST全新,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000007&orgId=gssz0000007#latestAnnouncement
000008,gssz0000008,szgt,神州高铁,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000008&orgId=gssz0000008#latestAnnouncement
000009,gssz0000009,zgba,中国宝安,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000009&orgId=gssz0000009#latestAnnouncement
000010,gssz0000010,mlst,美丽生态,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000010&orgId=gssz0000010#latestAnnouncement
000011,gssz0000011,swya,深物业A,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000011&orgId=gssz0000011#latestAnnouncement
000012,gssz0000012,nba,南玻Ａ,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000012&orgId=gssz0000012#latestAnnouncement
000013,jjjl0000041,yfdttr,易方达天天R,开放式基金,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000013&orgId=jjjl0000041#latestAnnouncement
000014,gssz0000014,shgf,沙河股份,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000014&orgId=gssz0000014#latestAnnouncement
000015,jjjl0000031,hxcza,华夏纯债A,开放式基金,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000015&orgId=jjjl0000031#latestAnnouncement
000016,gssz0000016,skja,深康佳Ａ,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000016&orgId=gssz0000016#latestAnnouncement
000017,gssz0000017,szha,深中华A,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000017&orgId=gssz0000017#latestAnnouncement
000018,gssz0000018,scat,神城A退,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000018&orgId=gssz0000018#latestAnnouncement
000019,gssz0000019,slkg,深粮控股,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000019&orgId=gssz0000019#latestAnnouncement
000020,gssz0000020,shfa,深华发Ａ,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000020&orgId=gssz0000020#latestAnnouncement
000021,gssz0000021,skj,深科技,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000021&orgId=gssz0000021#latestAnnouncement
000023,gssz0000023,stst,ST深天,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000023&orgId=gssz0000023#latestAnnouncement
000024,jjjl0000067,dmslzqzqa,大摩双利增强债券A,开放式基金,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000024&orgId=jjjl0000067#latestAnnouncement
000025,gssz0000025,tla,特力Ａ,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000025&orgId=gssz0000025#latestAnnouncement
000026,gssz0000026,fyd,飞亚达,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000026&orgId=gssz0000026#latestAnnouncement
000027,gssz0000027,szny,深圳能源,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000027&orgId=gssz0000027#latestAnnouncement
000028,gssz0000028,gyyz,国药一致,A股,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000028&orgId=gssz0000028#latestAnnouncement
